player_name,matches,innings,not_outs,runs,balls_faced,average,strike_rate,hundreds,fifties,fours,sixes
V Kohli,21,21,7,764,581,54.57,131.5,0,9,67,20
V Sibanda,1,1,0,4,12,4.0,33.33,0,0,0,0
VJ Kingma,1,1,1,1,1,,100.0,0,0,0,0
Vikramjit Singh,9,9,0,124,133,13.78,93.23,0,0,10,5
W Barresi,2,2,0,17,16,8.5,106.25,0,0,1,1
W Madhevere,8,8,1,106,83,15.14,127.71,0,0,15,2
WD Parnell,4,4,2,5,13,2.5,38.46,0,0,0,0
WG Jacks,2,2,0,15,17,7.5,88.24,0,0,2,0
WIA Fernando,7,7,2,52,62,10.4,83.87,0,0,1,2
WP Masakadza,2,2,1,5,13,5.0,38.46,0,0,0,0
WTS Porterfield,2,2,0,34,34,17.0,100.0,0,0,4,1
Wahab Riaz,1,1,0,0,1,0.0,0.0,0,0,0,0
Waseem Muhammad,3,3,0,93,92,31.0,101.09,0,1,2,5
Yasir Ali Chowdhury,3,3,1,5,9,2.5,55.56,0,0,0,0
Yuvraj Singh,4,4,0,52,52,13.0,100.0,0,0,3,2
ZE Green,10,10,0,110,134,11.0,82.09,0,0,7,2
Zahoor Khan,1,1,1,1,1,,100.0,0,0,0,0
Zawar Farid,1,1,0,2,4,2.0,50.0,0,0,0,0
Zeeshan Maqsood,8,9,1,112,118,14.0,94.92,0,0,13,2
