player_name,matches_bat,innings,not_outs,runs,balls_faced,bat_avg,bat_sr,hundreds,fifties,fours,sixes,matches_bowl,overs,balls_bowled,runs_conceded,wickets,bowl_avg,economy,bowl_sr,four_wickets,five_wickets
GSNFG Jayasuriya,1.0,1.0,0.0,1.0,3.0,1.0,33.33,0.0,0.0,0.0,0.0,1.0,1.0,6.0,9.0,0.0,,9.0,,0.0,0.0
GT Main,,,,,,,,,,,,1.0,1.17,7.0,13.0,1.0,13.0,11.14,7.0,0.0,0.0
Gulsan Jha,3.0,3.0,0.0,20.0,25.0,6.67,80.0,0.0,0.0,1.0,1.0,1.0,2.17,13.0,17.0,0.0,,7.85,,0.0,0.0
H Hiri,4.0,4.0,0.0,32.0,51.0,8.0,62.75,0.0,0.0,4.0,0.0,,,,,,,,,,
H Klaasen,11.0,11.0,2.0,239.0,190.0,26.56,125.79,0.0,1.0,14.0,14.0,,,,,,,,,,
H Masakadza,1.0,1.0,0.0,12.0,10.0,12.0,120.0,0.0,0.0,3.0,0.0,,,,,,,,,,
HC Brook,8.0,8.0,2.0,194.0,144.0,32.33,134.72,0.0,1.0,18.0,3.0,,,,,,,,,,
HDRL Thirimanne,3.0,3.0,0.0,8.0,13.0,2.67,61.54,0.0,0.0,1.0,0.0,,,,,,,,,,
HE van der Dussen,5.0,5.0,2.0,177.0,152.0,59.0,116.45,0.0,1.0,10.0,6.0,,,,,,,,,,
HG Munsey,16.0,16.0,2.0,399.0,333.0,28.5,119.82,0.0,2.0,46.0,14.0,,,,,,,,,,
HH Pandya,14.0,14.0,3.0,290.0,214.0,26.36,135.51,0.0,2.0,20.0,15.0,19.0,59.33,356.0,499.0,24.0,20.79,8.41,14.83,0.0,0.0
HM Amla,3.0,3.0,1.0,115.0,84.0,57.5,136.9,0.0,2.0,12.0,4.0,,,,,,,,,,
HM Nicholls,1.0,1.0,0.0,7.0,11.0,7.0,63.64,0.0,0.0,1.0,0.0,,,,,,,,,,
HMRKB Herath,3.0,3.0,0.0,6.0,10.0,2.0,60.0,0.0,0.0,0.0,0.0,3.0,12.0,72.0,75.0,1.0,75.0,6.25,72.0,0.0,0.0
HN Ya France,2.0,2.0,1.0,1.0,4.0,1.0,25.0,0.0,0.0,0.0,0.0,3.0,4.17,25.0,26.0,0.0,,6.24,,0.0,0.0
HR Walsh,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.33,32.0,45.0,0.0,,8.44,,0.0,0.0
HT Tector,11.0,11.0,0.0,90.0,114.0,8.18,78.95,0.0,0.0,5.0,1.0,,,,,,,,,,
Haider Ali,2.0,2.0,0.0,2.0,5.0,1.0,40.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Hamza Tahir,,,,,,,,,,,,1.0,4.0,24.0,24.0,1.0,24.0,6.0,24.0,0.0,0.0
Haris Rauf,4.0,4.0,3.0,13.0,10.0,13.0,130.0,0.0,0.0,0.0,1.0,16.0,61.83,371.0,425.0,23.0,18.48,6.87,16.13,1.0,0.0
Harmeet Singh,5.0,5.0,1.0,69.0,50.0,17.25,138.0,0.0,0.0,4.0,5.0,5.0,16.67,100.0,141.0,4.0,35.25,8.46,25.0,0.0,0.0
Hasan Ali,,,,,,,,,,,,5.0,19.83,119.0,171.0,4.0,42.75,8.62,29.75,0.0,0.0
Hasan Mahmud,2.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,102.0,136.0,6.0,22.67,8.0,17.0,0.0,0.0
IS Sodhi,3.0,3.0,2.0,9.0,9.0,9.0,100.0,0.0,0.0,0.0,0.0,17.0,67.5,405.0,467.0,26.0,17.96,6.92,15.58,0.0,0.0
Iftikhar Ahmed,8.0,9.0,1.0,141.0,119.0,17.62,118.49,0.0,2.0,11.0,6.0,4.0,6.0,36.0,46.0,1.0,46.0,7.67,36.0,0.0,0.0
Imad Wasim,4.0,4.0,0.0,30.0,42.0,7.5,71.43,0.0,0.0,3.0,0.0,11.0,37.67,226.0,205.0,8.0,25.62,5.44,28.25,0.0,0.0
