match_id,inning_no,batting_team,bowling_team,over,ball_in_over,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,is_wicket,wicket_player_out,wicket_kind,wicket_fielder,extras_type,commentary_short,commentary
1415722,1,Canada,Pakistan,1,4,A Johnson,Naseem Shah,NS Dhaliwal,0,0,0,0,,,,,"Naseem Shah to Aaron Johnson, no run, Naseem is very confident with the caught behind appeal. No appeal from Rizwan. Bab","Naseem Shah to Aaron Johnson, no run, Naseem is very confident with the caught behind appeal. No appeal from Rizwan. Babar walks up and there's a long discussion. No review taken. Good call. Back of a length and closer to off-stump, Johnson looks to defend and is beaten by the late away movement. Clear day light between ball and bat/glove"
1415722,1,Canada,Pakistan,1,5,A Johnson,Naseem Shah,NS Dhaliwal,0,0,0,0,,,,,"Naseem Shah to Aaron Johnson, no run, once more hits the back of a length spot and gets it to swing away, Johnson does w","Naseem Shah to Aaron Johnson, no run, once more hits the back of a length spot and gets it to swing away, Johnson does well not to go feeling for the ball"
1415722,1,Canada,Pakistan,1,6,A Johnson,Naseem Shah,NS Dhaliwal,0,0,0,0,,,,,"Naseem Shah to Aaron Johnson, no run, on a length and outside off, Johnson lifts his bat and lets it go","Naseem Shah to Aaron Johnson, no run, on a length and outside off, Johnson lifts his bat and lets it go"
1415722,1,Canada,Pakistan,1,7,A Johnson,Naseem Shah,NS Dhaliwal,0,0,0,0,,,,,"Naseem Shah to Aaron Johnson, no run, jaffa! I0$ back of a length delivery in the channel and Johnson has to play becaus","Naseem Shah to Aaron Johnson, no run, jaffa! I0$ back of a length delivery in the channel and Johnson has to play because he feels the ball is coming in with the angle, but it straightens and whizzes past the outside edge, leaving Naseem with his hands on his head"
1415722,1,Canada,Pakistan,2,1,NS Dhaliwal,Mohammad Amir,A Johnson,4,0,4,0,,,,,"Amir to Navneet Dhaliwal, , another gift from a Pakistan pacer. Half volley and Dhaliwal does not even followthrough wit","Amir to Navneet Dhaliwal, , another gift from a Pakistan pacer. Half volley and Dhaliwal does not even followthrough with his drive, just a short-arm jab with an open bat face and the ball races away through cover-point"
1415722,1,Canada,Pakistan,2,2,NS Dhaliwal,Mohammad Amir,A Johnson,0,0,0,0,,,,,"Amir to Navneet Dhaliwal, no run, good length ball angled across, Dhaliwal lifts his bat and lets it go","Amir to Navneet Dhaliwal, no run, good length ball angled across, Dhaliwal lifts his bat and lets it go"
1415722,1,Canada,Pakistan,2,3,NS Dhaliwal,Mohammad Amir,A Johnson,0,0,0,0,,,,,"Amir to Navneet Dhaliwal, no run, on a length and slanting away, Dhaliwal is rooted to the crease and does not cover for","Amir to Navneet Dhaliwal, no run, on a length and slanting away, Dhaliwal is rooted to the crease and does not cover for the angle, beaten on the outside edge and the ball does not carry to Rizwan"
1415722,1,Canada,Pakistan,2,4,NS Dhaliwal,Mohammad Amir,A Johnson,0,0,0,0,,,,,"Amir to Navneet Dhaliwal, no run, shortens the length and rolls his fingers over, the ball shapes away and Dhaliwal is s","Amir to Navneet Dhaliwal, no run, shortens the length and rolls his fingers over, the ball shapes away and Dhaliwal is squared up, he was on the back foot and is beaten all ends up on the outside edge"
1415722,1,Canada,Pakistan,2,5,NS Dhaliwal,Mohammad Amir,A Johnson,0,0,0,0,,,,,"Amir to Navneet Dhaliwal, no run, I0$ fullish delivery attacking the stumps, Dhaliwal brings his bat down in the nick of","Amir to Navneet Dhaliwal, no run, I0$ fullish delivery attacking the stumps, Dhaliwal brings his bat down in the nick of time and jams it onto the pad"
1415722,1,Canada,Pakistan,2,6,NS Dhaliwal,Mohammad Amir,A Johnson,0,0,0,1,NS Dhaliwal,bowled,,,"Amir to Navneet Dhaliwal, Bowled!! This time he goes through the gate. Dhaliwal survived last ball but not on this one. ","Amir to Navneet Dhaliwal, Bowled!! This time he goes through the gate. Dhaliwal survived last ball but not on this one. Very similar to the previous delivery. Dhaliwal stays back to a fullish delivery and the ball swings in as well, beats the inside edge and flattens the middle-stump. Pakistan needed that to boost their confidence."
1415722,1,Canada,Pakistan,3,1,A Johnson,Naseem Shah,Pargat Singh,4,0,4,0,,,,,"Naseem Shah to Aaron Johnson, , width on offer and Johnson goes after it, he throws his bat on the fullish delivery and ","Naseem Shah to Aaron Johnson, , width on offer and Johnson goes after it, he throws his bat on the fullish delivery and slices it over the off-side ring. Not off the middle but good enough to trickle into the rope"
1415722,1,Canada,Pakistan,3,2,A Johnson,Naseem Shah,Pargat Singh,2,0,2,0,,,,,"Naseem Shah to Aaron Johnson, 2 runs, in the air and safe.. Fuller and shaping away, Johnson looks to repeat the previou","Naseem Shah to Aaron Johnson, 2 runs, in the air and safe.. Fuller and shaping away, Johnson looks to repeat the previous shot but gets more height than distance, just manages to evade a backtracking Babar from mid-off"
1415722,1,Canada,Pakistan,3,3,A Johnson,Naseem Shah,Pargat Singh,0,0,0,0,,,,,"Naseem Shah to Aaron Johnson, no run, Naseem responds with a bouncer on off-stump, Johnson ducks and allows it to sail o","Naseem Shah to Aaron Johnson, no run, Naseem responds with a bouncer on off-stump, Johnson ducks and allows it to sail over"
1415722,1,Canada,Pakistan,3,4,A Johnson,Naseem Shah,Pargat Singh,1,0,1,0,,,,,"Naseem Shah to Aaron Johnson, 1 run, fuller and swinging away, Johnson goes for the big shot and the outside edge flies ","Naseem Shah to Aaron Johnson, 1 run, fuller and swinging away, Johnson goes for the big shot and the outside edge flies down to third man"
1415722,1,Canada,Pakistan,3,5,Pargat Singh,Naseem Shah,A Johnson,1,0,1,0,,,,,"Naseem Shah to Pargat Singh, 1 run, back of a length on off, Pargat squirts an inside edge backward of square leg and ge","Naseem Shah to Pargat Singh, 1 run, back of a length on off, Pargat squirts an inside edge backward of square leg and gets off the mark"
1415722,1,Canada,Pakistan,3,6,A Johnson,Naseem Shah,Pargat Singh,0,0,0,0,,,,,"Naseem Shah to Aaron Johnson, no run, short of length around off, Johnson rides the bounce and pats it to the off-side","Naseem Shah to Aaron Johnson, no run, short of length around off, Johnson rides the bounce and pats it to the off-side"
1415722,1,Canada,Pakistan,4,1,Pargat Singh,Mohammad Amir,A Johnson,0,0,0,0,,,,,"Amir to Pargat Singh, no run, good length ball angled across, Pargat defends solidly to cover","Amir to Pargat Singh, no run, good length ball angled across, Pargat defends solidly to cover"
1415722,1,Canada,Pakistan,4,2,Pargat Singh,Mohammad Amir,A Johnson,0,0,0,0,,,,,"Amir to Pargat Singh, no run, on a length and slanted across, Pargat has a prod and is beaten on the outside edge","Amir to Pargat Singh, no run, on a length and slanted across, Pargat has a prod and is beaten on the outside edge"
1415722,1,Canada,Pakistan,4,3,Pargat Singh,Mohammad Amir,A Johnson,0,0,0,0,,,,,"Amir to Pargat Singh, no run, I0$ swinging down leg, Pargat misses the glance and the ball brushes the pad on the way to","Amir to Pargat Singh, no run, I0$ swinging down leg, Pargat misses the glance and the ball brushes the pad on the way to Rizwan"
