batter,bowler,balls_with_commentary,avg_sentiment_score,boundary_pct,dot_pct,dominant_pct,controlled_pct,mistimed_pct,beaten_pct,defensive_pct,pressure_index
AD Russell,DM Nakrani,3,0.3333,0.0,0.3333,0.0,0.6667,0.0,0.0,0.3333,0.0
AD Russell,J Kariko,4,0.375,0.25,0.5,0.25,0.25,0.0,0.0,0.5,-0.25
AD Russell,J Miyaji,2,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AD Russell,KA Maharaj,4,0.125,0.0,0.75,0.0,0.25,0.0,0.0,0.75,0.0
AD Russell,KV Morea,3,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AD Russell,LH Ferguson,3,0.0,0.3333,0.6667,0.3333,0.0,0.0,0.3333,0.3333,0.0
AD Russell,MA Starc,2,0.75,0.5,0.0,0.5,0.5,0.0,0.0,0.0,-0.5
AD Russell,PJ Cummins,3,-0.1667,0.0,0.6667,0.0,0.3333,0.0,0.3333,0.3333,0.3333
AD Russell,PVD Chameera,1,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
AD Russell,PWH de Silva,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
AD Russell,T Shamsi,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
AD Russell,TA Boult,1,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
AD Russell,TS Mills,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
AGS Gous,A Nortje,9,0.5556,0.3333,0.2222,0.3333,0.4444,0.0,0.0,0.2222,-0.3333
AGS Gous,AD Russell,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
AGS Gous,AJ Hosein,4,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AGS Gous,AK Markram,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AGS Gous,AS Joseph,4,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AGS Gous,Arshdeep Singh,4,0.125,0.0,1.0,0.0,0.25,0.0,0.0,0.75,0.0
